PAGEMIEG,PATTCRU,PATTSITC,PATTSKP,PEDUCMIE,PEFATINC,PFMTYPG,PFTENUR,PLFFPTME,PNBEARG,PPVRES,PWAPRVAL,PWASTDEP,PWATFS,PWDPRMOR,PWDSLOAN,PWDSTCRD,PWDSTLOC,PWNETWPG
7,3,3,2,2,27700,1,1,3,0,59,2100000,270000,18000,0,0,1000,0,2509000
3,3,3,2,4,51750,9,2,1,9,46,380000,5000,0,250000,0,0,0,136000
4,4,3,2,4,118375,3,2,1,3,46,200000,1050,0,52500,0,0,0,226550
4,4,2,2,4,134900,3,2,2,2,59,1950000,21000,9500,330000,0,0,0,1824050
5,4,3,2,4,397075,9,1,1,3,59,2500000,35000,185000,0,0,0,0,10384600
4,6,1,2,4,55600,1,3,1,1,24,0,200000,0,0,0,0,0,268000
7,2,3,2,1,48825,9,2,3,0,59,1025000,15000,0,175000,0,30000,0,3052005
3,3,2,1,2,24175,1,3,1,1,12,0,175,125,0,0,4000,0,-1650
6,4,3,2,3,53525,2,1,3,0,59,2100000,230000,180000,0,0,0,0,2926500
3,4,2,2,3,145775,3,2,1,3,48,975000,8750,225,470000,0,1900,0,2629575
5,4,3,2,4,181175,2,1,1,1,24,350000,70000,95000,0,0,0,27000,2497000
5,3,2,2,4,56875,1,3,2,1,35,0,1500,0,0,0,3900,0,1251600
5,4,3,2,3,126525,1,2,1,0,24,700000,320000,105000,115000,0,0,0,6192500
6,4,3,2,3,37425,1,1,3,0,59,1050000,5000,92500,0,0,0,0,2146000
3,4,3,2,4,128150,2,2,1,2,59,700000,3900,19000,430000,0,0,0,511900
6,6,3,2,3,82100,9,3,1,1,11,0,2000,0,0,0,0,0,32000
2,3,1,1,2,37550,1,3,1,1,59,0,1550,0,0,0,1350,0,9525
6,4,3,2,4,6000,1,1,1,0,24,310000,6500,0,0,0,0,0,700505
6,4,1,2,4,155350,9,1,1,9,46,650000,120000,80000,0,0,0,0,4838500
7,4,3,2,2,93050,1,1,3,0,35,390000,110000,38000,0,0,0,0,1867000
4,4,3,2,4,20625,1,3,1,1,24,0,4100,2000,0,0,0,10500,50600
6,4,3,2,2,54550,1,1,3,0,47,250000,110000,150000,0,0,0,0,2416000
6,4,2,2,4,98575,2,1,2,1,13,180000,24000,100000,0,0,0,0,1319000
6,4,3,2,9,101700,4,1,3,1,12,320000,37000,92500,0,0,0,0,1310500
6,4,3,2,4,73825,1,1,3,1,48,240000,100000,95000,0,0,0,0,2041000
4,4,3,2,3,275400,3,2,1,2,35,700000,7250,0,60000,0,0,24000,3635500
6,4,2,2,3,64425,2,3,3,0,48,0,9500,105000,0,0,0,0,354000
5,4,3,2,2,10925,1,1,3,0,48,360000,5500,36000,0,0,0,0,418500
5,4,2,2,9,123275,4,2,2,9,46,270000,39000,0,230000,0,0,0,241500
4,4,3,2,4,228175,4,1,1,2,48,350000,31000,80000,0,0,0,0,962500
6,4,2,2,4,82000,4,1,3,2,59,1550000,360000,0,0,0,0,92500,2416750
4,3,2,1,1,84675,3,2,1,2,24,240000,50,0,95000,0,1000,0,217650
6,4,3,2,4,74400,2,1,3,0,10,230000,26000,57500,0,0,0,0,799500
6,4,3,2,4,187450,9,1,2,1,24,1200000,270000,80000,0,0,0,0,11030000
5,4,3,2,2,137450,4,2,1,3,35,1400000,36000,230000,80000,0,0,0,4989000
4,4,1,2,4,170725,3,2,1,3,35,1050000,1500,1750,575000,0,3000,12000,1621600
5,4,3,2,3,66275,1,3,1,1,35,0,6750,7500,0,0,0,0,189750
5,3,2,2,2,73775,1,1,1,1,24,260000,4750,8000,0,0,0,4100,862500
6,3,2,2,3,44875,1,1,2,1,59,250000,300,350,0,0,14000,0,605475
5,4,3,2,3,141550,2,1,1,1,47,380000,77500,155000,0,0,0,0,891000
5,4,3,2,4,186050,2,1,1,2,35,700000,12000,55000,0,0,325,0,2420175
4,3,3,2,2,82650,2,2,1,2,12,310000,2900,0,145000,0,0,4100,641300
3,3,2,2,3,154025,3,2,1,1,48,410000,45000,1000,350000,0,1000,0,620750
5,4,3,2,3,18000,1,3,2,1,35,0,5,0,0,0,0,0,4755
4,4,3,1,4,142175,3,1,1,3,12,310000,430000,10500,0,0,0,0,1758500
5,4,3,2,4,151250,9,1,9,9,11,440000,5000,145000,0,0,0,0,6011500
6,3,2,2,2,99050,2,2,1,9,47,290000,1800,0,195000,0,15500,44000,818800
5,4,2,2,4,89750,2,2,2,2,12,350000,20000,105000,290000,0,0,0,849005
1,3,3,2,1,153550,9,3,1,3,10,0,0,0,0,0,0,0,250
2,3,3,2,3,126325,9,2,1,2,46,390000,22000,5250,180000,0,5000,33000,492650
5,4,2,2,4,133500,2,1,3,1,59,2800000,60000,100000,0,0,0,0,7923005
3,3,2,2,3,138675,2,2,1,9,13,240000,2900,400,135000,0,18000,115000,872300
4,4,3,2,4,72825,3,3,1,3,48,0,4100,27000,0,0,0,0,141600
6,4,3,2,1,105675,2,1,2,9,10,260000,19000,15500,0,0,0,0,377500
3,6,3,2,2,36550,1,3,1,1,48,0,5,0,0,3000,0,0,1280
6,4,3,2,3,60500,2,1,3,0,35,310000,17500,190000,0,0,0,0,1626500
2,2,3,1,3,41200,1,3,1,1,35,0,30,125,0,50000,1500,0,-44045
6,4,3,2,4,87100,2,1,3,1,59,1600000,85000,85000,0,0,0,8750,2849250
6,4,3,2,3,79150,4,1,3,1,35,875000,5250,55000,0,0,0,0,1750750
3,1,3,2,3,950,1,3,3,0,48,0,225,475,0,0,0,0,211200
7,4,3,2,1,24450,1,3,3,0,46,0,5000,0,0,0,0,0,22500
6,4,2,2,4,119375,2,1,1,1,12,400000,175000,165000,0,0,0,0,2839500
3,3,2,2,2,114975,3,2,1,3,59,380000,10000,0,165000,0,3900,27000,243100
4,3,1,2,3,163025,1,2,1,1,24,825000,57500,0,460000,0,9500,62500,728500
5,4,3,2,3,129350,2,1,1,1,59,1150000,25000,150000,0,0,0,0,3230000
5,4,2,1,3,175600,4,3,1,2,59,0,1750,0,0,0,0,0,26750
2,2,2,2,2,56175,3,3,1,1,24,0,0,0,0,0,18000,5,-14705
5,4,1,2,4,163150,2,1,1,2,59,1200000,370000,57500,0,0,0,0,2489500
3,4,3,2,4,87100,1,2,1,1,35,550000,14500,43000,440000,0,0,0,508000
5,4,3,2,1,209300,9,1,1,1,24,350000,36000,0,0,0,0,0,12906000
5,3,2,2,2,127825,2,2,1,2,46,150000,725,0,42000,0,14000,155000,982725
6,3,3,2,4,116250,2,2,2,2,59,1800000,8750,3000,100000,0,0,62500,2762750
1,6,3,2,1,84175,4,3,1,2,59,0,50,0,0,45000,0,0,-43250
3,3,3,2,2,83200,1,2,1,1,59,750000,7000,13000,180000,0,6000,0,729000
4,6,2,2,3,32700,3,2,3,1,35,100000,5,0,5,0,0,0,205000
6,4,3,2,4,209575,4,1,2,3,59,1650000,26000,155000,0,0,0,0,4460000
3,3,2,2,3,87300,3,2,1,2,35,500000,2100,2100,100000,0,2000,5250,840955
6,4,3,2,3,62950,9,1,2,1,10,280000,43000,3900,0,0,0,0,2332400
4,3,2,1,3,26400,3,3,3,1,35,0,4100,0,0,14500,0,0,14275
6,4,2,2,4,58300,1,3,3,1,46,0,14500,70000,0,0,0,0,1406750
6,4,3,2,4,152700,2,1,1,9,48,440000,26000,0,0,0,0,0,946750
6,4,3,2,4,125475,2,1,3,0,35,1050000,4300,0,0,0,0,40000,3453300
5,4,3,2,4,266400,3,2,1,3,35,2100000,44000,200000,900000,0,0,0,4671000
6,4,3,2,4,90675,2,1,3,0,46,310000,90000,105000,0,0,0,0,1181500
5,4,3,2,4,337275,9,2,9,0,59,3500000,500000,240000,210000,0,0,1050000,11252000
4,3,3,2,2,122150,3,2,1,3,35,380000,1700,0,270000,0,55000,41000,497300
4,2,2,2,3,81550,4,3,1,1,35,0,11000,5,0,0,57500,0,277505
3,4,3,2,4,238825,3,2,1,1,35,875000,410000,185000,47500,0,9500,0,2106500
6,4,3,2,2,64725,4,1,2,1,48,410000,31000,65000,0,0,0,0,852505
3,3,1,2,4,66100,1,3,1,1,35,0,1050,0,0,0,1350,0,1682675
6,4,2,2,4,154100,2,1,3,0,35,2100000,72500,190000,0,0,0,0,4179000
1,6,2,2,2,58575,4,3,1,2,35,0,150,0,0,2700,0,0,1600
3,4,3,2,4,22625,1,3,1,1,35,0,21000,55000,0,0,0,0,114155
5,4,3,2,4,232900,2,1,1,2,59,2300000,21000,11500,0,0,0,60000,6052500
6,4,3,2,3,46000,2,1,3,1,47,95000,62500,9000,0,0,0,0,593500
6,3,3,2,3,143050,4,2,1,1,12,460000,5000,0,125000,0,2000,21000,996000
3,4,3,2,4,112550,2,2,1,2,10,290000,5000,0,260000,0,0,0,241500
3,2,2,2,9,44475,9,2,1,9,13,115000,825,0,55000,0,13500,4000,53825
6,6,2,2,2,25150,1,3,3,0,59,0,1000,10000,0,0,0,0,23500
5,6,3,2,1,12500,1,3,3,0,59,0,575,0,0,0,0,0,47175
5,4,3,2,3,82450,2,1,1,2,59,1000000,60000,10000,0,0,0,0,2380000
2,4,2,2,4,99950,3,2,1,2,46,400000,2500,130000,310000,0,0,52500,347500
6,4,3,2,3,97275,4,1,3,0,59,2000000,14500,0,0,0,10000,875000,3814250
2,6,2,1,2,70975,2,3,1,2,59,0,20,0,0,10000,0,0,16270
5,4,2,2,3,60200,4,1,3,1,48,525000,240000,130000,0,0,2500,0,1313000
6,4,3,2,3,27050,1,3,3,0,24,0,6000,10500,0,0,0,0,33050
1,2,2,1,3,117825,2,2,1,2,24,410000,0,0,230000,21000,1400,0,303100
6,4,3,2,4,57200,1,1,3,0,46,350000,47500,85000,0,0,0,0,1077500
7,2,3,2,4,71000,2,1,3,0,48,675000,3500,77500,0,0,0,0,1512000
3,4,3,2,2,63400,1,2,1,1,46,350000,6500,45000,155000,0,0,0,379100
4,4,2,1,3,46700,1,2,1,1,35,250000,2500,7000,80000,0,425,12000,252575
3,4,2,2,3,106825,4,2,1,2,46,550000,5000,0,390000,0,0,6000,929175
5,4,3,2,4,158750,1,2,1,1,24,825000,41000,0,200000,0,0,0,2338500
6,4,3,2,2,125950,2,1,1,2,59,925000,46000,180000,0,0,0,0,2266000
3,4,1,2,4,175700,3,2,1,2,24,525000,31000,5000,135000,0,0,0,859000
4,2,2,2,3,9750,1,3,3,0,48,0,-80,0,0,0,5000,0,-13155
2,3,3,2,3,41350,1,3,1,1,13,0,1250,0,0,25000,300,725,-1325
5,4,3,2,4,168625,2,1,1,2,24,650000,25000,190000,0,0,0,0,4845500
5,1,3,2,3,37475,1,3,1,1,24,0,26000,9500,0,0,0,0,46500
3,4,1,2,4,146575,2,2,1,2,35,925000,35000,5000,250000,0,0,0,1536000
2,4,3,2,4,85950,3,2,1,2,35,800000,10000,0,490000,9750,0,0,300000
6,4,2,2,3,68525,2,1,3,1,35,750000,160000,52500,0,0,0,97500,8392750
7,1,3,2,3,30575,1,3,3,0,24,0,9500,150000,0,0,0,0,218500
6,4,3,2,9,22150,1,1,6,0,47,200000,1000,0,0,0,0,0,198000
7,4,3,2,4,132325,2,1,3,0,11,400000,16000,125000,0,0,0,0,2251000
6,3,3,2,4,51850,2,3,3,0,24,0,2000,0,0,0,4000,0,520200
6,4,2,2,2,45750,1,2,3,0,48,725000,47500,145000,450000,0,0,0,1998500
6,4,2,2,4,140850,2,1,2,1,35,1800000,120000,210000,0,0,0,0,3894500
6,4,2,2,2,69900,2,1,3,2,35,430000,9500,30000,0,0,0,0,1138500
1,6,3,1,2,46325,2,3,1,2,24,0,5,0,0,0,0,0,41630
5,4,3,2,3,61625,2,1,9,2,10,320000,19000,85000,0,0,0,0,1144500
6,4,3,2,2,57750,1,1,3,0,35,725000,8250,155000,0,0,0,0,1832500
6,4,3,2,2,43300,4,1,3,1,47,105000,57500,50000,0,0,0,0,398500
4,4,3,2,3,125525,2,1,1,2,24,100000,6000,9500,0,0,0,0,124250
5,6,3,2,1,13325,1,3,3,0,46,0,300,0,0,0,0,0,901350
5,4,3,2,4,201875,3,3,1,2,35,0,3900,0,0,0,0,0,68750
5,4,3,2,4,108000,2,1,3,2,24,825000,97500,190000,0,0,0,0,3771000
7,4,2,2,2,35475,1,1,9,9,11,210000,6750,52500,0,0,0,0,404830
5,4,2,1,4,95600,2,2,2,2,35,1450000,47500,0,450000,0,0,0,1704505
6,4,3,2,4,107700,2,1,3,1,35,2700000,33000,95000,0,0,0,0,4098000
3,2,2,2,3,101575,3,2,1,2,13,230000,625,10000,110000,0,17500,33000,333625
6,4,2,2,3,53850,2,1,2,1,47,360000,1500,9500,0,0,0,0,726500
5,4,2,2,2,150300,4,1,3,1,35,1050000,10000,0,0,0,0,0,2873000
3,4,2,2,4,68875,1,2,1,1,46,460000,1800,41000,300000,0,0,0,669300
6,3,3,2,3,57000,2,1,3,1,13,180000,0,62500,0,0,875,675,791700
7,4,3,2,4,206525,2,2,3,0,35,1000000,10000,0,200000,0,0,0,2320000
6,4,1,2,4,193125,9,1,1,9,11,1550000,20000,25000,0,0,0,0,3390500
5,4,3,2,2,78175,4,2,2,9,12,190000,11500,0,20000,0,0,0,781000
6,4,3,2,2,134025,2,1,3,0,35,400000,120000,120000,0,0,0,0,1751000
4,4,2,2,3,123700,2,1,1,2,48,200000,10500,0,0,0,0,10000,2041000
6,3,3,1,3,46000,1,2,2,1,59,500000,7250,0,23000,0,2200,0,651800
6,4,3,2,4,99975,2,1,3,0,24,775000,21000,950,0,0,0,0,2876450
1,2,2,2,4,35000,2,3,1,1,24,0,19000,1000,0,0,0,0,31550
5,3,3,2,4,125925,4,2,1,3,46,200000,16500,4200,195000,11000,450,2000,244250
6,4,3,2,2,43500,1,1,3,0,59,675000,40000,13000,0,0,0,0,1083750
4,4,2,2,4,177500,3,2,3,3,48,380000,25000,15500,125000,28000,0,0,1247500
6,4,1,2,4,216825,2,1,2,1,47,575000,120000,270000,0,0,0,0,3455000
6,4,3,2,4,207525,2,1,2,2,35,1800000,28000,105000,0,0,0,0,4457000
3,4,3,2,2,49925,1,1,1,1,47,360000,100000,65000,0,0,0,0,767500
2,3,1,1,3,121525,3,2,1,2,24,390000,3000,25000,105000,0,0,0,465255
6,6,3,2,2,36775,1,3,3,0,24,0,4750,0,0,0,0,0,140625
4,4,1,2,4,50950,3,2,2,3,59,1550000,17000,0,675000,0,0,140000,1057100
5,3,3,2,3,90050,9,2,9,9,12,410000,3000,0,250000,0,375,0,741125
4,4,2,2,4,134700,2,2,1,2,59,650000,1050,1150,310000,0,3500,0,652005
4,3,2,2,3,26325,1,3,1,1,35,0,20000,0,0,0,0,0,1939000
5,3,3,2,4,104575,4,2,1,3,59,875000,3000,0,160000,0,625,0,1323775
7,4,3,2,2,50750,2,1,3,0,46,300000,10000,77500,0,0,0,0,605000
3,3,2,2,2,31350,1,3,1,1,35,0,1650,0,0,0,0,0,6900
5,6,3,2,1,105200,2,2,1,1,13,100000,1000,0,45000,0,0,0,233000
5,4,3,2,3,96675,2,1,2,2,24,825000,28000,90000,0,0,0,0,2438750
5,4,1,2,3,151775,2,1,2,2,47,360000,340000,60000,0,0,0,0,3641500
2,4,3,2,4,374450,9,1,1,3,35,1900000,180000,180000,0,0,9000,0,4738500
7,3,2,2,9,47500,9,3,3,0,47,0,31000,50000,0,0,0,0,211000
6,3,3,2,3,87700,4,1,2,2,48,420000,35000,20000,0,950,950,0,633100
6,4,3,2,2,64375,1,2,3,0,47,500000,270000,0,14000,0,0,0,2385750
6,4,3,2,4,35300,1,3,3,0,13,0,0,0,0,0,0,0,16350
5,4,3,2,4,78850,1,1,1,1,35,950000,10500,5000,0,0,0,0,1620000
6,4,3,2,4,98850,2,1,3,1,24,500000,575000,210000,0,0,0,0,1849250
5,4,2,2,4,67275,2,1,2,2,24,480000,20000,0,0,36000,0,0,1972500
6,4,3,2,3,65975,2,1,2,1,24,200000,10000,0,0,0,0,15000,430250
3,4,1,2,4,118550,3,2,1,2,46,875000,125000,0,440000,0,0,0,1097500
3,3,2,2,3,450,4,3,3,1,48,0,7250,50,0,12500,26000,0,102300
5,4,1,2,4,-151500,9,3,3,1,12,0,30000,575000,0,0,0,550000,6257600
5,1,2,2,2,47975,1,3,1,1,35,0,5000,4750,0,0,825,0,261225
4,2,2,2,2,62650,2,2,1,9,12,155000,10500,0,87500,0,10000,0,254700
6,4,3,2,3,34375,9,1,3,0,59,1050000,10000,40000,0,0,0,0,4109000
4,4,2,2,3,10500,1,1,3,0,24,360000,80000,92500,0,0,0,0,743500
5,3,3,2,4,105775,1,3,1,1,59,0,1100,0,0,0,16000,33000,563100
4,2,2,1,2,78500,4,1,1,3,59,525000,1050,0,0,10000,10000,0,1534150
7,6,3,2,1,42925,1,1,3,0,47,200000,10000,0,0,0,0,0,771000
2,3,2,2,4,71500,3,2,1,1,59,600000,8000,24000,430000,0,10000,10000,220750
4,4,3,2,3,307850,4,1,1,3,35,750000,11500,180000,0,0,0,0,2719500
5,4,1,2,4,345250,4,1,1,2,48,400000,110000,95000,0,0,0,0,2299500
6,4,3,2,4,66175,2,1,3,0,59,550000,155000,47500,0,0,0,0,1351500
6,4,2,2,4,117075,2,1,3,0,47,750000,32000,23000,0,0,2700,0,3952300
2,4,1,2,4,58850,1,3,1,1,24,0,2000,0,0,27000,0,16500,84950
5,3,3,2,3,93375,2,2,1,1,59,775000,2100,0,230000,0,30000,17500,914600
4,3,1,2,3,52450,3,3,1,1,24,0,1550,0,0,0,1250,0,82950
5,3,2,2,4,92250,3,2,1,1,35,1250000,1200,120000,155000,0,4200,145000,1639005
6,4,3,2,4,108100,2,1,2,2,46,475000,110000,77500,0,0,0,0,3137500
5,3,3,2,3,47875,1,2,1,1,12,300000,800,0,125000,0,4500,13000,262500
3,4,3,2,3,137525,4,2,1,0,35,1850000,9500,21000,370000,0,8750,82500,6089250
5,4,3,2,3,107775,3,1,1,3,35,900000,85000,87500,0,0,0,0,1926000
6,4,3,2,4,118725,2,1,3,1,47,200000,47500,4600,0,0,0,0,2344100
5,4,3,2,3,169275,2,1,2,2,12,250000,360000,210000,0,0,0,0,1324500
5,3,2,2,4,245075,4,2,1,2,24,875000,16000,0,310000,0,10500,0,923600
6,4,3,2,4,42000,2,1,3,0,47,260000,24000,20000,0,0,0,0,712000
6,4,3,2,3,86975,2,1,3,0,47,290000,1500,0,0,0,0,0,2531000
2,2,2,2,3,82500,2,2,1,2,35,410000,50,0,250000,0,0,9250,230800
4,4,2,2,4,120225,3,2,1,3,35,1000000,0,40,150000,0,6250,105000,884540
6,4,2,2,3,232700,9,1,2,9,47,575000,43000,0,0,0,0,250000,1707000
5,2,2,1,3,40825,2,1,1,2,48,450000,2900,0,0,0,1850,0,670550
5,3,2,2,4,176875,4,1,1,2,35,800000,12000,0,0,0,4500,0,4277500
2,4,2,2,4,77375,1,2,1,1,59,925000,5000,21000,165000,0,0,0,1615500
4,3,2,2,3,24325,1,3,1,1,35,0,0,0,0,0,47500,0,621000
7,6,3,2,4,23000,1,3,6,0,35,0,0,0,0,0,0,0,180175
2,1,2,2,4,60650,1,3,1,1,59,0,5000,12500,0,0,0,0,41000
4,4,2,2,3,226000,3,2,1,3,48,400000,15500,0,140000,0,0,0,371500
3,4,3,2,4,152300,2,2,1,2,48,460000,24000,2100,320000,33000,0,0,478600
4,3,1,2,2,78650,3,2,1,1,48,850000,2300,0,410000,0,4000,0,773800
6,3,3,2,4,85050,1,3,3,1,24,0,100,0,0,0,10000,0,585100
3,6,2,2,3,21000,3,3,3,9,46,0,0,0,0,0,775,0,-8750
6,4,3,2,3,89475,2,1,1,1,10,190000,155000,4500,0,0,0,0,2535505
2,3,3,2,9,105675,3,2,1,2,13,320000,1000,0,145000,8000,525,34000,511625
2,2,2,2,4,161175,9,2,1,2,24,1950000,125,0,850000,0,24000,82500,1397625
5,4,3,2,4,184750,2,1,1,2,24,475000,260000,72500,0,0,0,0,1832500
2,4,2,2,4,40375,1,3,1,1,59,0,350000,10500,0,0,0,0,421500
